Year,Month,Segment,Region,KPI,Value Type,Value
2020,12,Clients,India,Lv1_Visitors,Actuals,36.65558
2020,12,Clients,India,Lv2_Visitors,Actuals,26.89569
2020,12,Clients,India,Lv3_Visitors,Actuals,13.00571
2020,12,Clients,India,Lv4_Visitors,Actuals,7.17608
2020,12,Clients,India,Lv3_Visitors,Actuals,7.06677
2020,12,Clients,India,Lv5_Visitors,Actuals,2.55723
2020,12,Clients,India,Lv4_Visitors,Actuals,1.80125
2020,12,Clients,India,Lv5_Visitors,Actuals,0.74768
2021,12,Clients,India,Lv1_Visitors,Actuals,35.43797
2021,12,Clients,India,Lv2_Visitors,Actuals,21.9942
2021,12,Clients,India,Lv3_Visitors,Actuals,11.05675
2021,12,Clients,India,Lv3_Visitors,Actuals,6.77096
2021,12,Clients,India,Lv4_Visitors,Actuals,6.32424
2021,12,Clients,India,Lv5_Visitors,Actuals,2.16178
2021,12,Clients,India,Lv4_Visitors,Actuals,1.80821
2021,12,Clients,India,Lv5_Visitors,Actuals,0.69345
2022,12,Clients,India,Lv1_Visitors,Actuals,32.2369
2022,12,Clients,India,Lv2_Visitors,Actuals,21.06583
2022,12,Clients,India,Lv3_Visitors,Actuals,17.25522
2022,12,Clients,India,Lv4_Visitors,Actuals,7.48273
2022,12,Clients,Uddepy,Lv1_Visitors,Actuals,6.29047
2022,12,Clients,Uddepy,Lv2_Visitors,Actuals,3.78447
2022,12,Clients,Uddepy,Lv3_Visitors,Actuals,3.71666
2022,12,Clients,Dehradun,Lv1_Visitors,Actuals,2.4137
2022,12,Clients,Ujjain,Lv1_Visitors,Actuals,1.78976
2022,12,Clients,Dehradun,Lv2_Visitors,Actuals,1.49024
2022,12,Clients,Indore,Lv1_Visitors,Actuals,1.19475
2022,12,Clients,Uddepy,Lv4_Visitors,Actuals,1.1895
2022,12,Clients,Dehradun,Lv3_Visitors,Actuals,1.1857
2022,12,Clients,Ujjain,Lv2_Visitors,Actuals,1.12987
2022,12,Clients,Ujjain,Lv3_Visitors,Actuals,0.78884
2022,12,Clients,India,Lv5_Visitors,Actuals,0.75211
2022,12,Clients,Indore,Lv2_Visitors,Actuals,0.72804
2022,12,Clients,Indore,Lv3_Visitors,Actuals,0.64064
2022,12,Clients,Dehradun,Lv4_Visitors,Actuals,0.53146
2022,12,Clients,Ujjain,Lv4_Visitors,Actuals,0.37404
2022,12,Clients,Indore,Lv4_Visitors,Actuals,0.30773
2022,12,Clients,Uddepy,Lv5_Visitors,Actuals,0.14855
2022,12,Clients,Dehradun,Lv5_Visitors,Actuals,0.0788
2022,12,Clients,Ujjain,Lv5_Visitors,Actuals,0.05632
2022,12,Clients,Indore,Lv5_Visitors,Actuals,0.04335
2020,11,Clients,India,Lv1_Visitors,Actuals,36.34761
2020,11,Clients,India,Lv2_Visitors,Actuals,25.10682
2020,11,Clients,India,Lv3_Visitors,Actuals,13.46038
2020,11,Clients,India,Lv3_Visitors,Actuals,7.51349
2020,11,Clients,India,Lv4_Visitors,Actuals,7.5071
2020,11,Clients,India,Lv5_Visitors,Actuals,2.72017
2020,11,Clients,India,Lv4_Visitors,Actuals,1.87646
2020,11,Clients,India,Lv5_Visitors,Actuals,0.8168
2021,11,Clients,India,Lv1_Visitors,Actuals,36.65788
2021,11,Clients,India,Lv2_Visitors,Actuals,22.61094
2021,11,Clients,India,Lv3_Visitors,Actuals,11.54974
2021,11,Clients,India,Lv4_Visitors,Actuals,6.94316
2021,11,Clients,India,Lv3_Visitors,Actuals,6.88464
2021,11,Clients,India,Lv5_Visitors,Actuals,2.43224
2021,11,Clients,India,Lv4_Visitors,Actuals,1.93567
2021,11,Clients,India,Lv5_Visitors,Actuals,0.78573
2022,11,Clients,India,Lv1_Visitors,Actuals,35.58134
2022,11,Clients,India,Lv2_Visitors,Actuals,22.99894
2022,11,Clients,India,Lv3_Visitors,Actuals,17.53542
